

Trajectories
100
,,PETT:table1,,,PETT:table2,,,PETT:balle1,,,PETT:dos1,,,PETT:dos2,,,PETT:torse2,,,PETT:cou2,,,PETT:epaule G2,,,PETT:bras G2,,,PETT:coude G2,,,PETT:epaule D2,,,PETT:bras D2,,,PETT:coude D2,,,PETT:av bras D2,,,PETT:av bras D3,,,PETT:main D3,,,PETT:raquette2,,,PETT:raquette3,,,PETT:raquette4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
11,0,-1346.86,891.172,-7.34728,-1380.48,-609.982,5.82771,1559.78,187.699,433.684,-1790.87,175.27,229.446,,,,-1772.05,198.558,675.951,,,,-1857.84,376.909,718.552,-1955.73,504.295,437.646,-1898.24,506.206,379.042,-1915.3,37.8266,731.05,-1995.56,-94.8049,414.17,-1921.6,-95.279,370.541,-1712.13,-76.9779,370.882,-1717.12,-30.0786,446.321,-1660.08,-72.4528,418.513,-1511.44,-12.3117,435.148,-1523.67,13.8901,563.488,,,
12,0,-1346.84,891.181,-7.34543,-1380.49,-609.965,5.84588,1557.37,185.639,431.138,,,,,,,-1769.8,196.253,676.518,,,,-1857.86,374.83,719.364,-1956.37,504.367,435.916,-1907.52,511.004,378.056,-1913.6,35.3228,731.521,-1992.76,-96.8715,413.931,-1918.49,-96.3466,370.578,-1709.57,-76.2351,370.689,-1714.48,-32.26,447.923,-1655.86,-72.1956,417.487,-1510.22,-8.49787,434.3,-1520.98,11.0496,564.505,,,
13,0,-1346.86,891.18,-7.32921,-1380.47,-609.965,5.85343,1555.44,187.778,431.264,,,,,,,-1767.65,194.556,677.052,,,,-1857.83,372.897,720.074,-1957.88,498.964,439.234,-1908.68,508.363,378.474,-1912.37,33.0278,732.075,-1989.99,-98.7112,413.735,-1915.58,-97.4216,370.626,-1706.75,-75.3303,370.329,-1711.85,-34.4762,449.083,-1652.38,-72.4016,416.697,-1503.29,-5.34657,435.77,-1517.91,8.99763,565.267,,,
14,0,-1346.85,891.181,-7.34321,-1380.48,-609.947,5.86451,1549.79,188.486,431.207,-1788.21,170.973,231.427,,,,-1765.76,192.574,677.534,,,,-1859.03,370.999,721.077,-1958.67,496.792,439.487,-1908.8,504.227,377.642,-1910.81,30.8838,732.572,-1987.15,-100.509,413.562,-1912.76,-98.3791,370.586,-1703.76,-74.4725,369.835,-1709.14,-36.0281,449.835,-1649.58,-72.4909,416.168,-1501.82,-1.69884,436.116,-1516.15,7.32278,566.151,,,
15,0,-1346.83,891.178,-7.34384,-1380.46,-609.958,5.85131,1543.46,189.122,431.269,,,,,,,-1763.87,190.579,677.773,,,,-1858.64,369.454,721.29,-1959.82,494.519,440.03,-1901.72,497.329,381.591,-1909.41,29.0252,732.879,-1984.48,-102.303,413.549,-1910.04,-99.4961,370.496,-1701.49,-73.6204,369.687,-1706.53,-36.9896,450.413,-1646.84,-72.1188,415.587,-1500.74,1.4312,437.014,-1514.82,5.9155,567.223,,,
16,0,-1346.85,891.185,-7.34903,-1380.41,-609.959,5.82533,1536.7,189.729,431.429,-1787.22,168.751,232.119,,,,-1771.99,192.262,677.413,,,,-1858.91,367.987,721.65,-1960.93,492.301,440.385,-1910.62,500.208,378.098,-1907.43,27.1683,732.92,-1981.83,-104.15,413.539,-1907.37,-100.529,370.49,-1699.2,-72.9088,369.353,-1704.72,-37.3134,450.612,-1644.61,-71.3018,415.214,-1499.34,3.48161,438.457,-1514.32,5.20707,568.843,,,
17,0,-1346.84,891.185,-7.33075,-1380.47,-609.97,5.8279,1529.74,190.342,431.668,-1786.42,167.696,232.401,,,,-1770.74,191.302,677.781,,,,-1859.51,366.639,721.969,-1961.53,492.697,439.318,-1912.09,498.862,378.599,-1906.34,25.6016,733.145,-1979.31,-105.903,413.463,-1904.84,-101.482,370.445,-1696.95,-72.2107,369.097,-1702.64,-37.1593,450.476,-1642.26,-70.9103,414.87,-1498.58,5.48745,440.125,-1514.22,5.16717,570.13,,,
18,0,-1346.84,891.187,-7.31121,-1380.49,-609.954,5.83629,1522.77,190.993,431.968,-1786.21,166.46,232.525,,,,-1769.88,190.619,678.012,,,,-1860.32,365.451,722.248,-1962.79,489.143,440.597,-1904.39,492.656,382.445,-1905.27,24.2,733.177,-1976.8,-107.611,413.264,-1902.42,-102.56,370.126,-1695.01,-71.4845,368.835,-1700.63,-36.4604,450.339,-1640.6,-70.422,414.807,-1498.39,7.47447,441.79,-1514.73,5.80925,571.719,,,
19,0,-1346.87,891.18,-7.31608,-1380.46,-609.966,5.85072,1515.99,191.709,432.313,-1785.7,166.014,232.468,,,,-1769.61,190.219,677.972,,,,-1860.4,364.549,722.171,-1964.84,486.902,441.068,-1905.44,491.335,382.59,-1904.1,22.9504,733.076,-1974.64,-109.201,413.146,-1900.11,-103.319,369.839,-1693.29,-70.6231,368.87,-1699.04,-35.6564,450.344,-1639.15,-69.776,415.032,-1496.14,8.96683,443.667,-1518.14,7.61717,573.749,,,
20,0,-1346.84,891.173,-7.32744,-1380.48,-609.945,5.84923,1509.53,192.514,432.686,-1785.03,165.581,232.346,,,,-1769.29,189.947,677.967,,,,-1860.38,363.789,721.975,-1965.44,486.17,440.693,-1906.84,490.312,382.399,-1902.68,21.8623,732.735,-1972.47,-110.535,412.647,-1898.07,-104.013,369.458,-1691.45,-69.8195,368.93,-1697.77,-34.9345,450.406,-1637.64,-68.9483,415.195,-1495.74,10.6413,444.647,-1515.51,8.608,574.419,,,
