

Trajectories
100
,,PETT:table1,,,PETT:table2,,,PETT:balle1,,,PETT:dos1,,,PETT:dos2,,,PETT:torse2,,,PETT:cou2,,,PETT:epaule G2,,,PETT:bras G2,,,PETT:coude G2,,,PETT:epaule D2,,,PETT:bras D2,,,PETT:coude D2,,,PETT:av bras D2,,,PETT:av bras D3,,,PETT:main D3,,,PETT:raquette2,,,PETT:raquette3,,,PETT:raquette4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
465,0,-1346.84,891.16,-7.33491,-1380.48,-609.953,5.83262,1877.03,481.045,263.965,,,,-1719.65,409.337,242.613,-1731.62,468.806,653.046,-1891.59,496.739,738.817,-1795.22,645.06,689.048,-1805.42,789.53,400.734,-1758.92,787.883,338.635,-1867.35,312.654,720.709,-1845.13,163.496,401.127,-1792.83,172.398,336.914,-1617.18,239.887,248.177,-1605.32,295.934,315.561,-1553.44,259.965,271.972,-1424.82,353.712,239.806,-1410.52,386.273,364.666,-1522.02,352.92,377.76
466,0,-1346.84,891.193,-7.33793,-1380.45,-609.961,5.81065,1883.63,485.914,260.513,,,,-1723.59,407.765,241.803,-1734.4,467.76,653.934,-1894.91,495.618,739.448,-1797.28,644.407,689.77,-1807.43,788.439,401.086,-1760.24,785.716,338.784,-1871.32,312.036,721.273,-1848.77,163.385,401.356,-1796.25,172.309,337.344,-1619.86,239.623,248.888,-1608.54,294.93,316.844,-1556.64,259.086,273.535,-1427.38,352.444,241.768,-1413.9,385.113,366.624,-1526.17,350.688,379.441
467,0,-1346.85,891.197,-7.35465,-1380.43,-609.972,5.82817,1883.5,490.937,262.371,,,,-1727.48,406.164,240.947,-1737.19,466.654,654.549,-1898.12,494.277,740.074,-1799.52,643.572,690.401,-1809.51,787.317,401.439,-1762.27,784.447,339.191,-1874.57,311.428,721.623,-1852.36,163.049,401.631,-1799.44,172.222,337.515,-1622.99,238.775,250.583,-1611.57,294.153,318.257,-1559.37,258.268,274.978,-1429.41,351.198,244.175,-1416.67,383.857,368.998,-1528.62,351.125,381.064
468,0,-1346.89,891.187,-7.35506,-1380.45,-609.962,5.8341,1876.49,496.029,269.529,,,,-1731.32,404.54,240.048,-1739.91,465.434,655.228,-1901.22,492.728,740.688,-1801.76,642.489,691.026,-1811.48,786.375,401.782,-1764.53,783.234,339.641,-1877.65,310.513,721.846,-1855.57,162.804,401.591,-1802.57,171.485,337.886,-1624.93,238.544,251.194,-1613.86,293.766,319.361,-1562.07,257.214,276.693,-1431.86,350.016,245.911,-1419.48,382.472,371.002,-1531.05,349.836,382.722
469,0,-1346.8,891.117,-7.45006,-1380.49,-609.946,5.85557,1862.67,501.097,281.778,,,,-1735.09,402.897,239.108,-1741.23,464.19,655.755,-1904.19,490.983,741.287,-1803.97,641.359,691.454,-1813.5,785.138,402.271,-1766.26,781.805,339.916,-1880.67,309.425,722.063,-1858.55,162.164,401.634,-1805.45,171,338.156,-1627.4,237.617,252.472,-1616.12,292.729,320.614,-1564.07,256.653,277.594,-1438.27,350.098,246.115,-1421.6,381.232,373.155,-1532.81,349.658,383.854
470,0,-1346.78,891.121,-7.48858,-1380.45,-609.953,5.82961,1842.33,506.041,298.736,,,,-1738.79,401.24,238.131,-1744.7,462.515,655.924,-1907.04,489.054,741.864,-1806.31,640.036,691.84,-1815.69,784.046,402.861,-1768.33,780.632,340.578,-1883.45,308.091,722.261,-1860.96,161.408,401.395,-1807.35,170.278,337.965,-1629.41,236.915,253.434,-1618.19,291.963,321.835,-1565.99,255.526,278.788,-1439.07,349.018,248.295,-1423.69,380.038,375.524,-1535.01,348.314,385.524
471,0,-1346.93,891.148,-7.45627,-1380.46,-609.939,5.83286,1815.95,510.762,319.88,,,,-1742.42,399.576,237.119,-1746.39,461.216,656.18,-1909.77,486.952,742.415,-1808.52,638.59,692.174,-1817.67,782.857,403.287,-1770.41,779.503,341.198,-1885.93,306.663,722.347,-1863.25,160.445,401.179,-1809.8,169.396,338.164,-1631.08,236.11,254.513,-1619.86,290.967,322.949,-1567.51,254.947,279.871,-1436.49,347.762,251.748,-1425.46,378.449,377.205,-1537.16,346.978,387.523
472,0,-1347.02,891.204,-7.42407,-1380.45,-609.957,5.82778,1784.1,515.169,344.57,,,,-1745.98,397.909,236.075,-1749.15,459.738,656.483,-1912.37,484.69,742.935,-1810.93,636.946,692.591,-1819.6,781.638,403.833,-1772.46,778.339,341.819,-1888.33,304.974,722.418,-1865.52,159.219,401.24,-1812.37,168.132,338.627,-1632.53,235.422,255.326,-1621.67,289.879,324.059,-1569.07,254.186,280.936,-1438.12,346.854,253.57,-1426.95,376.781,379.435,-1538.56,345.55,388.605
473,0,-1347.1,891.222,-7.42774,-1380.46,-609.962,5.83693,1747.52,519.177,372.08,,,,-1749.46,396.245,235.003,-1751.87,457.616,656.812,-1914.85,482.28,743.42,-1813.19,635.307,692.926,-1821.48,780.325,404.242,-1774.14,776.916,342.244,-1890.54,303.167,722.422,-1866.91,157.911,400.829,-1814.11,166.749,338.913,-1633.83,234.672,256.064,-1623.05,288.729,324.981,-1570.48,253.329,281.886,-1439.34,346.111,255.358,-1428.51,375.373,381.512,-1540.38,343.465,390.387
474,0,-1347.14,891.222,-7.43577,-1380.44,-609.958,5.83062,1706.97,522.717,401.626,,,,-1752.85,394.589,233.905,-1752.7,456.105,657.139,-1917.21,479.736,743.866,-1815.46,633.491,693.165,-1823.41,778.97,404.67,-1775.83,775.439,342.707,-1892.67,301.035,722.485,-1868.12,156.484,400.429,-1815.11,165.49,338.635,-1634.34,234.575,256.185,-1624.16,287.78,325.991,-1571.74,252.428,282.997,-1444.89,345.776,255.645,-1429.92,373.47,383.616,-1541.75,342.215,392.391
475,0,-1347.18,891.214,-7.55324,-1380.47,-609.97,5.83779,1663.28,525.738,432.393,,,,-1756.15,392.948,232.785,-1755.51,454.189,657.205,-1919.45,477.07,744.27,-1817.81,631.367,693.423,-1825.2,777.299,405.114,-1777.53,774.099,343.293,-1894.17,299.059,722.229,-1869.19,154.872,400.172,-1815.51,164.24,338.067,-1635.19,233.031,256.936,-1625.16,286.971,326.927,-1572.57,251.403,283.952,-1441.03,344.229,259.321,-1431.03,371.83,385.838,-1542.73,340.714,393.546
476,0,-1347.26,891.202,-7.64783,-1380.41,-609.968,5.82427,1617.29,528.214,463.563,,,,-1759.36,391.326,231.647,-1757.4,452.35,657.274,-1921.56,474.294,744.63,-1820.09,629.329,693.682,-1826.99,775.637,405.585,-1779.97,773.498,344.152,-1895.89,296.715,722.241,-1870.04,153.041,399.985,-1816.24,162.532,338.052,-1635.45,232.483,257.509,-1626.26,285.548,328.079,-1573.18,250.655,285.176,-1441.48,343.424,261.41,-1432.22,370.55,387.991,-1544.19,338.559,395.097
477,0,-1347.31,891.189,-7.79757,-1380.45,-609.956,5.82228,1569.81,530.146,494.347,,,,-1762.48,389.73,230.494,-1759.56,450.483,657.189,-1923.55,471.423,744.942,-1822.34,627.179,693.851,-1828.74,773.865,405.937,-1780.59,770.812,344.458,-1897.23,294.391,722.003,-1870.49,151.255,399.499,-1816.65,160.95,337.938,-1635.54,232.175,258.28,-1626.75,284.356,329.055,-1573.69,249.148,286.357,-1441.78,342.22,263.351,-1433.3,369.153,390.221,-1545.14,337.459,397.033
478,0,-1347.23,891.106,-7.85849,-1380.44,-609.975,5.82763,1521.6,531.567,524.007,,,,-1765.49,388.165,229.329,-1761.74,448.605,656.99,-1925.42,468.469,745.205,-1824.31,624.948,694.074,-1830.34,771.967,406.457,-1782.13,769.327,345.142,-1898.66,291.915,721.952,-1870.73,149.338,399.094,-1817.74,158.911,338.494,-1635.83,230.54,259.349,-1626.95,284.037,329.896,-1573.78,248.279,287.502,-1445.32,341.781,263.946,-1433.99,367.884,392.184,-1545.6,336.53,398.366
479,0,-1347.17,891.021,-7.9553,-1380.44,-609.939,5.82732,1473.33,532.549,551.891,,,,-1768.4,386.636,228.157,-1763.93,446.719,656.685,-1927.16,465.445,745.419,-1826.6,622.602,694.268,-1831.81,770.093,406.859,-1783.25,767.623,345.744,-1899.65,289.455,721.633,-1871.05,147.328,398.848,-1816.98,157.424,337.746,-1636.13,229.208,260.697,-1627.02,282.764,330.936,-1573.94,247.123,288.89,-1441.53,339.938,267.648,-1434.83,366.774,394.281,-1545.89,335.539,399.31
480,0,-1346.81,890.846,-7.85359,-1380.46,-609.963,5.83625,1425.17,533.337,577.853,,,,-1771.2,385.149,226.98,-1766.08,444.828,656.283,-1928.79,462.365,745.583,-1828.61,620.485,694.529,-1832.95,768.329,407.15,-1784.24,765.558,346.289,-1897.69,286.749,720.478,-1871,145.329,398.327,-1817.06,155.297,337.672,-1635.56,227.859,261.614,-1627.46,281.254,332.028,-1573.9,246.011,290.588,-1441.98,339.088,269.63,-1435.46,366.209,396.909,-1547.43,333.819,401.807
481,0,-1347.18,891.011,-7.92339,-1380.49,-609.939,5.85418,1377.1,534.199,601.961,,,,-1773.89,383.709,225.803,-1768.17,442.933,655.797,-1930.3,459.24,745.696,-1830.58,617.927,694.85,-1834.16,766.001,407.637,-1785.41,763.819,347.11,-1901.92,284.206,721.448,-1870.81,143.246,397.878,-1814.04,152.728,335.756,-1634.81,226.688,262.494,-1627.47,279.698,333.309,-1573.42,244.765,292.108,-1441.79,338.129,272.174,-1436.43,365.329,399.346,-1547.8,332.768,403.516
482,0,-1347.11,891.027,-7.77718,-1380.49,-609.952,5.841,1329.15,535.334,624.27,,,,-1776.47,382.323,224.63,-1770.19,441.035,655.24,-1931.69,456.084,745.761,-1832.45,615.478,695.164,-1835.12,763.86,408.092,-1786.87,762.622,348.005,-1899.38,281.435,719.976,-1870.84,141.253,397.626,-1816.51,151.367,337.431,-1633.74,225.468,263.486,-1627.4,278.189,334.637,-1572.6,243.343,293.497,-1444.73,337.987,273.53,-1437.29,364.314,402.478,-1548.07,331.949,405.09
483,0,-1347.74,891.229,-8.01099,-1380.46,-609.97,5.82197,1281.41,536.872,644.818,,,,-1778.93,380.996,223.463,-1772.1,439.135,654.625,-1932.97,452.909,745.778,-1834.11,612.977,695.406,-1835.96,761.56,408.486,-1786.37,759.245,348.235,-1903.05,278.875,720.724,-1870.12,139.133,397.053,-1813.06,149.054,335.389,-1632.67,224.185,264.685,-1627.1,277.097,336.075,-1572.3,241.902,295.5,-1440.11,336.587,278.357,-1437.97,362.77,405.455,-1549.15,330.45,407.643
484,0,-1347.68,891.187,-8.01865,-1380.45,-609.96,5.80677,1234.01,538.885,663.629,,,,-1781.28,379.733,222.308,-1773.89,437.231,653.967,-1934.14,449.728,745.752,-1835.63,610.405,695.683,-1836.68,759.165,408.833,-1786.92,757.206,348.846,-1903.87,276.239,720.515,-1869.77,137.118,396.799,-1812.54,146.996,335.386,-1631.74,222.574,266.194,-1626.51,276.07,336.949,-1571.75,240.556,297.505,-1439.16,335.402,281.631,-1438.87,361.896,409.16,-1551.23,328.083,411.26
485,0,-1347.71,891.157,-8.01864,-1380.42,-609.969,5.8281,1187.09,541.393,680.715,,,,-1783.51,378.539,221.168,-1775.54,435.325,653.281,-1935.2,446.553,745.684,-1836.95,607.816,695.868,-1837.26,756.763,409.096,-1786.99,754.629,349.33,-1905.12,273.573,720.52,-1869.37,134.995,396.617,-1806.88,146.873,336.957,-1630.53,221.221,267.611,-1626.21,274.821,338.484,-1570.82,239.147,299.624,-1438.32,334.416,285.308,-1439.65,360.741,412.457,-1554.23,324.943,415.687
486,0,-1347.72,891.152,-8.05235,-1380.48,-609.947,5.8583,1140.83,544.37,696.08,,,,-1785.61,377.42,220.046,-1777.03,433.416,652.583,-1936.16,443.395,745.581,-1838.04,604.963,695.874,-1837.79,754.262,409.345,-1787.01,752.104,349.715,-1902.92,271.037,719.229,-1868.39,132.879,396.3,-1805.42,145.208,337.153,-1629.33,219.786,269.536,-1625.88,273.518,340.176,-1570.04,238.047,301.811,-1437.62,333.926,288.853,-1440.53,360.622,416.572,-1558.05,321.172,420.674
487,0,-1347.16,891.029,-7.79339,-1380.47,-609.953,5.84075,1095.42,547.756,709.726,,,,-1787.6,376.382,218.947,-1778.37,431.505,651.888,-1937.02,440.266,745.446,-1838.96,602.152,695.924,-1838.22,751.852,409.493,-1787.35,750.057,350.261,-1907.28,268.477,720.21,-1867.74,131.021,396.137,-1809.22,145.219,336.618,-1627.75,218.318,271.281,-1625.45,272.401,341.844,-1569.02,236.957,304.522,-1433.54,334.129,293.539,-1441.29,360.515,420.257,-1562.57,316.923,426.004
488,0,-1347.18,891.04,-7.80173,-1380.45,-609.95,5.83405,1051.06,551.461,721.653,,,,-1789.46,375.428,217.874,-1779.53,429.592,651.211,-1937.78,437.177,745.287,-1839.85,599.276,695.763,-1838.63,749.466,409.664,-1787.27,747.749,350.713,-1907.54,266.09,719.64,-1866.88,128.753,395.885,-1808.24,143.128,336.955,-1625.91,217.008,273.379,-1624.76,271.262,343.724,-1567.46,236.215,306.924,-1435.71,334.365,296.614,-1442.94,361.493,424.291,-1567.66,312.361,431.494
489,0,-1347.19,891.027,-7.77693,-1380.45,-609.969,5.84111,1007.92,555.372,731.862,,,,-1791.2,374.566,216.832,-1780.52,427.68,650.567,-1938.45,434.138,745.111,-1840.81,596.488,695.38,-1838.81,747.297,409.58,-1787.03,745.538,351.013,-1905.43,263.291,718.251,-1865.87,126.576,395.517,-1807.1,141.088,337.074,-1623.92,215.727,275.311,-1624.11,269.921,345.632,-1565.88,235.689,309.65,-1435.09,336.018,301.423,-1444.61,362.402,427.768,-1573.16,307.657,436.992
490,0,-1347.18,891.02,-7.8126,-1380.46,-609.956,5.83399,966.167,559.366,740.363,,,,-1792.81,373.799,215.824,-1781.34,425.771,649.97,-1939.03,431.16,744.926,-1841.7,593.709,695.122,-1838.91,744.933,409.468,-1787.93,744.78,351.669,-1908.89,260.761,718.736,-1864.57,124.385,395.025,-1800.11,137.741,337.886,-1621.45,214.595,277.443,-1623.21,268.742,347.826,-1564.07,235.224,312.597,-1435.91,337.938,306.232,-1447.27,364.322,433.536,-1578.91,302.985,442.373
491,0,-1347.15,891.035,-7.7966,-1380.44,-609.96,5.8351,925.95,563.312,747.172,,,,-1794.3,373.132,214.853,-1781.98,423.871,649.434,-1939.54,428.253,744.742,-1843.06,591.026,694.541,-1839.15,742.915,409.283,-1786.35,741.548,351.496,-1904.88,257.974,716.631,-1863.38,122.118,394.648,-1803.36,137.228,337.238,-1618.67,213.51,279.534,-1622.24,267.961,349.793,-1561.96,235.321,315.332,-1435.75,340.519,312.981,-1451.02,365.998,440.158,-1584.74,298.52,447.537
492,0,-1347.14,891.01,-7.81203,-1380.48,-609.962,5.8479,887.373,567.078,752.322,,,,-1795.69,372.582,213.915,-1782.45,421.985,648.969,-1939.96,425.422,744.581,-1844.2,588.542,694.187,-1839.29,740.78,409.012,-1785.79,739.068,351.699,-1905.87,255.16,716.514,-1861.64,119.87,394.066,-1795.2,133.796,338.263,-1615.7,213.113,281.514,-1621.57,266.947,352.116,-1560.06,235.398,318.915,-1436.4,343.978,320.768,-1456.18,367.863,447.803,-1590.48,294.432,452.413
493,0,-1347.15,891.022,-7.78914,-1380.41,-609.96,5.82453,850.498,570.546,755.857,,,,-1796.97,372.146,213.014,-1782.76,420.121,648.586,-1940.33,422.694,744.409,-1845.46,586.147,693.875,-1839.63,738.644,408.947,-1785.77,737.284,352.263,-1905.62,252.565,716.059,-1859.85,117.694,393.67,-1798.94,133.553,337.406,-1612.46,212.934,284.105,-1620.7,266.541,354.673,-1558.09,235.637,322.809,-1437.68,347.55,329.292,-1461.72,369.204,456.45,-1595.96,290.885,456.948
494,0,-1347.09,890.993,-7.75658,-1380.46,-609.956,5.86293,815.335,573.612,757.845,,,,-1798.16,371.834,212.149,-1782.92,418.289,648.294,-1940.62,420.042,744.302,-1846.47,583.96,693.878,-1839.99,736.489,409.03,-1785.74,735.309,352.876,-1908.2,250.116,716.756,-1857.88,115.663,393.425,-1790.82,130.783,338.719,-1609.67,212.657,287.319,-1620.11,266.338,357.373,-1556.34,236.095,327.322,-1438.73,351.542,338.978,-1468.55,371.371,465.321,-1601.02,288.03,461.113
495,0,-1347.1,890.993,-7.77576,-1380.47,-609.94,5.84752,781.83,576.196,758.373,,,,-1799.26,371.649,211.321,-1782.95,416.502,648.098,-1940.87,417.506,744.23,-1847.44,581.825,693.957,-1840.51,734.249,409.184,-1785.66,733.28,353.611,-1904.88,247.712,715.606,-1855.67,113.677,393.376,-1787.9,129.084,339.341,-1606.76,213.275,290.923,-1619.7,266.425,360.724,-1556.01,235.676,333.251,-1440.54,355.272,349.028,-1475.66,373.257,473.845,-1605.5,286.005,464.899
496,0,-1347.11,890.967,-7.77218,-1380.46,-609.956,5.84549,749.855,578.253,757.557,,,,-1800.27,371.596,210.53,-1782.86,414.773,648.004,-1941.14,415.062,744.144,-1848.5,579.71,694.196,-1841.17,732.253,409.434,-1785.67,731.403,354.383,-1903.78,245.554,715.427,-1853.38,111.775,393.422,-1785.49,127.69,340.037,-1604.01,213.659,295.102,-1619.25,267.088,364.295,-1553.62,237.393,338.322,-1441.75,358.496,359.486,-1483.46,375.794,483.394,-1609.26,284.928,468.311
497,0,-1347.17,891.03,-7.77111,-1380.47,-609.966,5.84221,719.204,579.774,755.542,,,,-1801.21,371.679,209.775,-1782.69,413.121,648.012,-1941.36,412.805,744.056,-1849.6,577.764,694.358,-1841.91,730.386,409.669,-1785.74,729.666,355.276,-1902.96,243.639,715.363,-1851.14,109.877,393.748,-1782.59,126.609,340.98,-1601.29,214.802,299.696,-1618.71,268.222,368.219,-1552.66,238.309,344.437,-1444.42,362.013,369.571,-1490.98,378.086,491.926,-1612.18,284.896,471.375
498,0,-1347.18,891.037,-7.77731,-1380.47,-609.965,5.84321,689.575,580.799,752.506,,,,-1802.07,371.9,209.056,-1782.46,411.567,648.122,-1941.66,410.586,743.973,-1850.87,576.084,694.25,-1842.5,728.683,409.877,-1785.84,728.136,356.101,-1902.22,241.717,715.41,-1848.52,108.089,393.93,-1785.36,127.706,340.856,-1598.76,215.123,304.675,-1618.37,269.263,372.48,-1551.6,239.608,350.854,-1444.75,365.444,379.854,-1497.36,380.216,500.549,-1614.14,285.981,474.125
499,0,-1347.14,891.031,-7.79304,-1380.48,-609.956,5.84657,660.571,581.426,748.661,,,,-1802.86,372.26,208.372,-1782.2,410.134,648.33,-1942.05,408.446,743.856,-1851.94,574.25,694.688,-1843.18,727.214,410.186,-1785.8,726.77,357.027,-1903.74,240.163,716.129,-1845.6,106.524,393.919,-1782.12,126.462,341.794,-1595.74,216.422,309.628,-1611.66,268.42,377.755,-1550.44,241.272,357.176,-1447.19,369.769,388.755,-1502.9,382.256,508.478,-1615.07,288.222,476.613
500,0,-1347.18,891.035,-7.81232,-1380.46,-609.963,5.85318,631.68,581.809,744.262,,,,-1803.59,372.763,207.724,-1781.94,408.849,648.628,-1942.48,406.475,743.709,-1853.19,572.691,695.113,-1843.66,725.963,410.366,-1785.65,725.727,358.006,-1902.43,238.665,715.929,-1842.57,105.275,394.073,-1778.78,126.295,342.757,-1593.22,217.67,314.694,-1617.09,271.478,381.234,-1549.1,242.82,363.417,-1450.12,375.66,397.127,-1507.55,384.506,515.81,-1614.9,291.63,478.896
501,0,-1347.12,891.021,-7.82303,-1380.49,-609.95,5.85783,602.274,582.179,739.607,,,,-1804.25,373.407,207.11,-1781.73,407.745,649.006,-1943.03,404.711,743.513,-1855.82,571.264,695.19,-1844.29,725.016,410.737,-1785.51,724.911,359.202,-1898.71,237.246,714.939,-1839.2,103.969,394.261,-1775.22,125.867,343.879,-1584.6,217.363,320.709,-1610.03,271.316,386.408,-1547.26,244.241,369.232,-1451.38,381.857,404.573,-1511.16,387.317,522.826,-1613.62,296.177,481.044
502,0,-1347.16,891.026,-7.80221,-1380.44,-609.955,5.81391,571.595,582.841,735.037,,,,-1804.86,374.193,206.529,-1781.61,406.856,649.448,-1943.69,403.131,743.305,-1857.77,570.398,695.182,-1844.85,724.251,411.144,-1785.39,724.477,360.746,-1900.31,236.244,715.621,-1835.74,102.881,394.692,-1771.03,125.897,345.074,-1586.96,220.552,324.46,-1608.02,272.616,390.765,-1545.18,245.968,374.911,-1452.72,387.395,411.159,-1513.8,390.275,528.955,-1611.24,301.793,483.131
503,0,-1347.16,891.034,-7.80076,-1380.48,-609.941,5.84054,540.006,583.745,730.419,,,,-1805.42,375.121,205.982,-1781.63,406.221,649.936,-1944.46,401.73,743.119,-1860.15,569.677,695.231,-1845.63,723.875,411.661,-1785.18,724.288,362.366,-1899.62,235.292,715.768,-1831.81,102.106,395.165,-1766.51,125.594,346.633,-1577.56,220.604,329.925,-1605.71,274.365,394.82,-1542.33,248.804,380.138,-1454.87,392.31,415.888,-1515.48,393.743,534.176,-1607.8,308.367,485.237
504,0,-1348.28,891.73,-7.81313,-1380.46,-609.978,5.84746,508.266,584.704,725.425,,,,-1805.92,376.188,205.465,-1781.85,405.884,650.447,-1945.34,400.424,742.992,-1862.89,569.139,695.376,-1846.62,723.573,412.387,-1784.79,724.152,364.297,-1898.65,234.547,715.697,-1827.85,101.614,395.747,-1762.19,125.627,348.331,-1574.73,222.845,334.835,-1603.82,276.753,399.136,-1539.65,251.47,385.445,-1453.06,395.515,421.192,-1515.96,397.62,538.356,-1603.4,315.738,487.445
505,0,-1347.11,891.037,-7.82241,-1380.47,-609.959,5.86701,476.945,585.578,719.776,,,,-1806.37,377.395,204.98,-1781.51,405.956,650.944,-1946.22,399.39,742.937,-1865.8,568.742,695.695,-1847.69,723.413,413.309,-1785.1,724.973,366.633,-1897.53,234.115,715.692,-1823.7,101.388,396.586,-1757.42,126.506,350.163,-1571.97,225.084,339.388,-1600.45,278.912,403.933,-1537.33,253.774,390.142,-1447.56,397.115,427.012,-1515.01,402.341,541.104,-1598.17,323.696,489.84
506,0,-1347.65,891.412,-7.72315,-1380.45,-609.954,5.83436,446.421,586.278,713.242,,,,-1806.78,378.737,204.524,-1780.75,406.443,651.412,-1947.13,398.472,742.959,-1868.66,568.511,696.157,-1848.91,723.746,414.319,-1785.27,725.822,368.899,-1896.75,233.893,715.923,-1819.34,101.452,397.382,-1753.33,127.652,352.116,-1568.15,228.41,343.308,-1603.94,281.977,407.693,-1533.42,257.234,394.516,-1442.64,399.391,430.24,-1513.07,408.045,542.912,-1592.31,331.975,492.507
507,0,-1347.42,891.291,-7.65376,-1380.49,-609.954,5.87605,416.9,586.761,705.645,,,,-1807.14,380.212,204.096,-1779.41,407.374,651.833,-1947.94,397.807,742.999,-1871.15,568.832,696.507,-1850.18,724.346,415.54,-1785.63,727.051,371.314,-1895.8,233.836,716.17,-1814.77,101.975,398.08,-1748.36,129.428,353.611,-1570.24,234.125,346.633,-1594.49,283.553,413.172,-1530.49,260.236,398.904,-1438.8,403.153,431.757,-1509.48,414.946,543.895,-1586.05,340.249,495.526
508,0,-1347.2,891.179,-7.56188,-1380.46,-609.984,5.834,388.438,587.022,696.848,,,,-1807.46,381.817,203.695,-1777.48,408.749,652.195,-1948.72,397.294,743.091,-1873.99,568.729,697.427,-1851.69,725.262,416.914,-1786.63,729.082,374.011,-1894.65,233.989,716.471,-1810.38,102.803,398.968,-1743.81,130.855,355.414,-1562.02,235.181,351.268,-1596.64,287.903,416.862,-1527.14,263.083,402.703,-1434.03,406.681,432.537,-1504.37,422.851,544.611,-1579.69,348.133,498.977
509,0,-1347.05,891.148,-7.54955,-1380.45,-609.967,5.84241,360.963,587.093,686.758,,,,-1807.73,383.548,203.32,-1775.06,410.547,652.493,-1949.51,396.951,743.194,-1877.34,568.845,698.51,-1853.45,726.528,418.406,-1787.24,730.966,376.305,-1893.43,234.316,716.795,-1805.55,104.207,399.759,-1738.92,133.977,357.001,-1558.57,238.81,354.106,-1587.99,288.909,421.22,-1523.69,266.431,406.164,-1430.27,411.293,432.598,-1498.22,431.076,545.416,-1573.59,355.169,502.937
510,0,-1347.04,891.139,-7.54449,-1380.45,-609.965,5.81805,334.297,587.031,675.317,,,,-1807.97,385.401,202.968,-1772.31,412.736,652.724,-1950.35,396.792,743.254,-1879.37,569.402,698.963,-1855.27,728.026,419.973,-1788.53,733.685,379.053,-1892.28,234.842,717.227,-1800.89,105.902,400.502,-1734.13,135.791,358.11,-1559.84,244.556,356.29,-1590.38,294.02,423.806,-1520.44,269.362,410.583,-1426.85,416.094,433.091,-1492.28,438.112,546.752,-1568.16,360.883,507.418
511,0,-1347,891.154,-7.54087,-1380.44,-609.951,5.83707,308.175,586.916,662.499,,,,-1808.16,387.37,202.64,-1769.43,415.267,652.89,-1951.21,396.835,743.219,-1882.21,570.026,699.521,-1857.01,729.991,421.503,-1789.93,736.5,381.532,-1887.5,235.676,716.362,-1796.29,107.879,401.131,-1729.23,138.408,359.431,-1555.89,247.556,361.057,-1587.45,297.671,427.1,-1517.14,273.33,415.094,-1423.58,421.094,434.674,-1487.74,443.539,549.321,-1563.77,365.1,512.094
512,0,-1346.98,891.152,-7.498,-1380.46,-609.959,5.84631,282.269,586.848,648.309,,,,-1808.31,389.451,202.333,-1766.68,418.087,652.996,-1951.95,397.096,743.043,-1884.78,571.121,699.899,-1859.06,732.098,422.962,-1791.35,739.794,383.893,-1885.88,236.81,716.423,-1791.42,109.983,401.691,-1724.62,141.108,361.051,-1552.31,251.11,365.139,-1584.82,302.627,430.25,-1514.55,278.371,419.416,-1421.62,426.494,438.447,-1486.16,448.483,553.265,-1560.56,368.501,516.04
513,0,-1346.91,891.15,-7.46128,-1380.44,-609.954,5.84319,256.207,586.934,632.775,,,,-1808.43,391.639,202.046,-1764.3,421.134,653.049,-1952.7,397.527,742.779,-1887.61,572.125,700.43,-1861.25,734.601,424.433,-1793.13,743.373,386.176,-1887.15,238.406,717.213,-1786.49,112.538,402.504,-1719.14,144.357,362.255,-1548.32,255.979,367.931,-1582.19,307.066,432.421,-1511.38,282.667,423.039,-1420.79,431.982,443.847,-1486.17,451.498,558.329,-1559.04,370.951,519.985
514,0,-1346.91,891.131,-7.44386,-1380.48,-609.952,5.8428,229.597,587.29,615.946,,,,-1808.51,393.926,201.777,-1762.55,424.345,653.058,-1953.69,398.219,742.447,-1890.63,573.443,700.722,-1863.68,737.385,425.743,-1795.16,747.238,388.311,-1886.11,240.182,717.154,-1781.46,115.272,403.064,-1714.03,147.921,363.427,-1539.55,259.538,371.447,-1579.89,311.767,434.794,-1509.79,287.18,426.407,-1421.94,437.771,450.881,-1488.78,454.173,564.629,-1559.45,372.764,523.859
515,0,-1346.88,891.157,-7.4078,-1380.47,-609.964,5.83327,202.047,588.029,597.888,,,,-1808.55,396.308,201.525,-1761.68,427.657,653.032,-1954.57,399.091,741.953,-1893.57,574.966,700.873,-1866.27,740.312,427.058,-1797.48,751.351,390.279,-1884.7,241.914,716.708,-1776.32,118.499,403.582,-1709.05,151.836,364.187,-1540.72,267.11,373.273,-1577.54,316.926,437.155,-1507.63,292.118,429.634,-1424.05,444.196,458.309,-1493.31,455.97,571.505,-1560.57,373.507,527.579
